Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
22,(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,"['chicago soul', 'classic soul', 'disco', 'funk', 'soul']",5RlUTWYlTeE1JiyudvnlAU,470506,FALSE,15
23,(everybody Wanna Get Rich) Rite Away,Dr. John,"['blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul']",2a0fkN8dbA5Kh8SR7cvl3D,163933,FALSE,54
24,(Everything I Do) I Do It For You,Bryan Adams,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",6eBK3edMW7bEzecF1eCezc,394133,FALSE,65
25,(For God's Sake) Give More Power To The People,The Chi-lites,"['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",0dVabf3Sm1uHODq1vz2Lts,180133,FALSE,29
26,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",7pFydJbDEToJHtvl6g579k,218133,FALSE,48
27,(Ghost) Riders In The Sky,Outlaws,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",4ncVYIs3UFvitjvc8RIPkM,351400,FALSE,47
28,(Ghost) Riders In The Sky,Ramrods,"['classic garage rock']",5eUVr9Ja4GK6e1lcIXjML7,156933,FALSE,24
29,"(Girls, Girls, Girls) Made To Love",Eddie Hodges,"[]",4PeZdZt3Mf46SfsL6Gj1EY,150666,FALSE,16
30,(He's My) Dreamboat,Connie Francis,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",3OvzW4ex4PCAkr25M85WCP,162106,FALSE,28
31,(He's) Raining In My Sunshine,Jay & The Americans,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",120BvxQsMS1M41PdBClcxa,195733,FALSE,10
32,(He's) The Great Impostor,The Fleetwoods,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']",2NBfPm9rWk2nYVDengT80Z,132101,FALSE,15
33,(Here They Come) From All Over The World,Jan & Dean,"['christmas instrumental']",5TrvERHRtiRshORTehfs0w,164600,FALSE,15
34,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",0b7qiL1rLbUUpGXczt7p5T,206066,FALSE,40
35,(How To Be A) Millionaire,ABC,"[]",3zC02nmo5OrDDMW3U905AU,215733,FALSE,29
36,(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",2QM3bCcmAwiuwDvhIispV8,175146,FALSE,26
37,(I Can Feel Your Love) Slipping Away,Barbara Mason,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",37kJMIJyTv96Tns8QgsOJn,199626,FALSE,16
38,(I Can't Get No) Satisfaction,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",2PzU4IB8Dr6mxV3lHuaG34,222813,FALSE,78
39,(I Can't Help You) I'm Falling Too,Skeeter Davis,"['brill building pop', 'nashville sound']",5MXe6dKcR6iO33GWzVW8cr,165266,FALSE,23
40,(I Could Only) Whisper Your Name,Harry Connick, Jr.,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']",68EKUNtzGVapUS30PJDVKs,289970,FALSE,34
41,(I Cried at) Laura's Wedding,Barbara Lynn,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",1kWnbqS0pNBX9UNFIdBoXw,158213,FALSE,2
42,(I Do The) Shimmy Shimmy,Bobby Freeman,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",2FQcPtw6VJ8t2D8YC6OiCC,157466,FALSE,3
43,(I Don't Care) Only Love Me,Steve Lawrence,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",2tve82MQkxXX1WsdxpI4sk,153600,FALSE,13
44,(I Hate) Everything About You,Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",6rUp7v3l8yC4TKxAAR5Bmx,231480,FALSE,74
45,(I Just) Died In Your Arms,Cutting Crew,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0YPXkQthLWrhNGoKTbwCJ8,278626,FALSE,70
46,(I Know I Got) Skillz,Shaquille O'Neal,"['new jersey rap']",0TEQ2QmFXnHCgQvYuvsbp2,263053,FALSE,33
47,(I Know) I'm Losing You,Rare Earth,"['blues rock', 'classic rock', 'motown']",18bZGZU0wZ2lV1SEDoXqqr,215986,FALSE,32
48,(I Know) I'm Losing You,The Temptations,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",6y8o4V2R2dSt2ijgL8C72W,149493,FALSE,44
49,(I Never Promised You A) Rose Garden,Martina McBride,"['contemporary country', 'country', 'country dawn', 'country road']",6goA1BGYQSSricr7oV8r8m,195573,FALSE,30
50,(I Remember) Summer Morning,Vanity Fare,"['bubblegum pop', 'classic uk pop', 'merseybeat']",5iDkKAJZxGaqIo4Z32ZbjD,178418,FALSE,3
51,(I Wanna) Dance With The Teacher,The Olympics,"['doo-wop', 'rhythm and blues']",3rHQ8LI3Rrw2hy7H4FtbFw,107317,FALSE,1
52,(I Wanna) Love My Life Away,Gene Pitney,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",1fNR9tY52D1V79V5eNqxxx,114906,FALSE,26
53,(I Wanna) Testify,The Parliaments,"[]",0xAqhyWvTkfcdFgm7dozMO,183693,FALSE,16
54,(I was) Born To Cry,Dion,"['canadian pop', 'dance pop']",5P6O4yi0sZ4JUOJAlmZvxM,147560,FALSE,28
55,(I'll Be With You In) Apple Blossom Time,Tab Hunter,"['deep adult standards']",7p4NwdRBX4tbBaQBRZXnTM,130759,FALSE,8
56,(I'm A) Road Runner,Jr. Walker & The All Stars,"['outlaw country', 'redneck']",5llZqDjRHnn5pAUswFqQCf,165946,FALSE,48
57,(I'm Just A) Fool For You,Gene Chandler,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']",0FESeUvkf85Xj65Yv08Ovf,160853,FALSE,8
58,(I'm Not Your) Steppin' Stone,The Monkees,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",7dvtNWoHd3ioEBmIl0s3In,146533,FALSE,45
59,(I'm So) Afraid Of Losing You Again,Charley Pride,"['classic country pop', 'country', 'country rock', 'nashville sound']",5drsRsgpbfvKGlhMcb5hKt,173320,FALSE,30
60,(i've Been) Searchin' So Long,Chicago,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",3z9pBucv2HHp1gYaTcQwiI,268426,FALSE,41
61,(I've Got) Bonnie,Bobby Rydell,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']",5XbZjYB4z9OIJhutiDJeSV,147000,FALSE,10
62,(I've Got) Spring Fever,Little Willie John,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",2QgRceE7yUSn82yLDAA3ZS,131533,FALSE,2
63,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,"['soft rock']",4BFMQ15vXr626UOoZL8bUI,289066,FALSE,70
64,(I've Had) The Time Of My Life,Glee Cast,"['glee club', 'hollywood', 'post-teen pop']",1wYDz3NuqlGxPnQDX8OuV6,277560,FALSE,49
65,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,"['classic country pop', 'country', 'country gospel', 'country rock']",1cxjGdsHJn2vo17AbWLFzu,185013,FALSE,35
66,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,"['classic soul', 'memphis soul', 'southern soul']",54K7o2yNOMZYCtEDnfD6wI,216800,FALSE,48
67,(If There Was) Any Other Way,Celine Dion,"['canadian pop', 'dance pop']",5yh5RqpOXYN3iiJe07mNNf,240093,FALSE,28
68,(if You Add) All The Love In The World,Mac Davis,"['bubblegum pop', 'country rock']",1P7yXlWH1VjAlu8x1cawmb,213106,FALSE,5
69,"(If You Cry) True Love, True Love",The Drifters,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",2mfo3AK0aZzTGcXD0LnLqx,141426,FALSE,16
70,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,"['classic soul']",5QQOXL6qvhobRG7zfjQCXW,203746,FALSE,20
71,(If You Want It) Do It Yourself,Gloria Gaynor,"['disco']",0ACUDVTtBKgPLo1R9Mj43L,170866,FALSE,11
72,(If You're Wondering If I Want You To) I Want You To,Weezer,"['alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",09aDV0TC2RfWFU5IwZfIdG,208773,FALSE,51
73,(It Never Happens) In Real Life,Chuck Jackson,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",4qpH2D4VQfOCdV7zYkt8Hr,165440,FALSE,5
74,(It's No) Sin,The Duprees featuring Joey Vann,"['brill building pop', 'doo-wop', 'rhythm and blues']",2iuFmbFY7FfPJtEeHmyKOE,162533,FALSE,11
75,(It's The Way) Nature Planned It,Four Tops,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",77ofWAzg1VoiK0mek1pYC0,227386,FALSE,32
76,(It) Feels So Good,Steven Tyler,"['modern country rock']",3xuzbqmCALn6Ua8JeOrnZl,211293,FALSE,33
77,(Just Like) Romeo & Juliet,The Reflections,"[]",7iSG8g8HVyGz8pgMD5cG6B,127893,FALSE,28
78,(Just Like) Romeo And Juliet,Sha Na Na,"['hollywood']",3UDSfh7CyfmbZ2TbmafkHV,136240,FALSE,11
79,(Just Like) Starting Over,John Lennon,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']",5y0YreEOnQiKFAnCrcFIXz,236546,FALSE,57
80,(Keep Feeling) Fascination,The Human League,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",0ZfZaT7NByalxa6bct5G67,224733,FALSE,45
81,(Kissed You) Good Night,Gloriana,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",0Rj68IX1WqAtceUZQGk7aa,232903,FALSE,51
82,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']",6HH6fmHF2YssfVkRmzcjf0,192600,FALSE,38
83,(Lay Your Head On My) Pillow,Tony Toni Tone,"['dance pop', 'funk', 'hip pop', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",0rRGYJSkI7v2VtxJv8n90m,372026,FALSE,52
84,(Loneliness Made Me Realize) It's You That I Need,The Temptations,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",4SuPDwNadgf6fdw8v3FW5x,158733,FALSE,20
85,(Love Is Like A) Baseball Game,The Intruders,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",4Lg5z4lC7u1GPSeYvHPPi6,165920,FALSE,25
86,(Love Is) Thicker Than Water,Andy Gibb,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",5WdF8jm3hBNi1t9qlqdjsE,255960,FALSE,45
87,(Love Me) Love The Life I Lead,The Fantastics,"[]",7pgKdLyCfjnrBLXJfbFLzg,186521,FALSE,0
88,(Marie's The Name) His Latest Flame,Elvis Presley,"['adult standards', 'rock-and-roll', 'rockabilly']",4qbLOU1T7xgTH87eUSkvJ1,127093,FALSE,56
89,(New In) The Ways Of Love,Tommy Edwards,"['deep adult standards', 'doo-wop']",4pNXt2MMFvTSBOkOPWjD8r,159640,FALSE,9
90,(Now You See Me) Now You Don't,Lee Ann Womack,"['contemporary country', 'country', 'country dawn', 'country road']",2i4tmbKkAhRnnojsmnPof1,159600,FALSE,22
91,(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,"['cosmic american']",2uHWLH7bnYPlWSWe6AfHiO,196333,FALSE,25
92,(oh) Pretty Woman,Van Halen,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",7ptv3yXdBWwzO7rVA62rwy,172670,FALSE,53
93,(Open Up The Door) Let The Good Times In,Dean Martin,"['adult standards', 'easy listening', 'lounge']",6AwCMQu47EyMU2IbzhkjlL,198600,FALSE,34
94,(Our Love) Don't Throw It All Away,Andy Gibb,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",1RsxUuB1Q5OdseLpHMBkEN,250200,FALSE,48
95,(Pride) In The Name Of Love,U2,"['irish rock', 'permanent wave', 'rock']",3dh2LlmeMqKJbzn2WUgt3d,228426,FALSE,60
96,(Reach Up For The) Sunrise,Duran Duran,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",1UiRhN1y1ML67E7oTjKtlZ,334586,FALSE,25
97,(Remember Me) I'm The One Who Loves You,Dean Martin,"['adult standards', 'easy listening', 'lounge']",7Jm0gQhWuBMzp0TI4ydm3D,145320,FALSE,36
98,(Remember The Days Of The) Old Schoolyard,Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",2EMAivXu3DdUtYgWMTCR0e,164826,FALSE,42
99,(Say) You're My Girl,Roy Orbison,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",6qJSIEaUw2VDYRzzHcKjqm,165426,FALSE,12
100,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,"['disco', 'funk', 'motown', 'soft rock']",3Is0Nnz59rzbNZE491URlY,186906,FALSE,53
101,(She's Got) Skillz,All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']",4tlryZypTlbIaa7YrgxCSN,245066,FALSE,34
102,(She's Just A) Fallen Angel,Starz,"[]",12SwPuYZXZ0dKHzSwN9ybg,212813,FALSE,9
103,(she's) Sexy + 17,Stray Cats,"['instrumental surf', 'rock-and-roll', 'rockabilly']",5x5FUXjs53WbPuTwT6WD8d,194066,FALSE,42
104,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,"['jazz blues', 'jazz saxophone', 'soul', 'soul jazz']",4RJZSPNQcA7PG8AtNTm4fG,161573,FALSE,6
105,(Sittin' On) The Dock Of The Bay,Michael Bolton,"['adult standards', 'soft rock']",0tvKT0EdO4Gm1nw7rgiHHa,231240,FALSE,39
106,(Sittin' On) The Dock Of The Bay,Otis Redding,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",3zBhihYUHBmGd2bcQIobrF,163755,FALSE,73
107,(Sittin' On) The Dock Of The Bay,Sammy Hagar,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock']",3LMelxlaociDgqIzLR1eAz,182466,FALSE,12
108,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,"['bossa nova', 'brazilian jazz', 'samba']",0HJ545UgMU7ttqYHFvb6pn,191760,FALSE,26
109,(Sittin' On) The Dock Of The Bay,The Reddings,"['funk', 'post-disco', 'post-disco soul']",785NElmjepfzUQVXQcBVxv,163000,FALSE,9
110,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",3lrSnngQqNWgvQmcFbCJCx,145264,FALSE,47
111,(That's) What The Nitty Gritty Is,Shirley Ellis,"['northern soul']",0YgdjmDh0OEGyFsMBHjEoH,154760,FALSE,20
112,(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,"['northern soul']",7eGLhn6AJNiXJUS7VawiUK,133706,FALSE,2
113,(The Best Part Of) Breakin' Up,The Ronettes,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",6HfubSk3SSjTwZq47HLh1z,184346,FALSE,27
114,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,"['classic uk pop']",04RM7D5FZzFahr4L6QOuW6,201200,FALSE,14
115,(The Lights Went Out In) Massachusetts,Bee Gees,"['adult standards', 'disco', 'mellow gold', 'soft rock']",33YKKW1MaDUwq7GDw3WOqR,176320,FALSE,5
116,(The Man Who Shot) Liberty Valance,Gene Pitney,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",2ZHxl0iAc5mwJFX6Y5TvRU,178440,FALSE,41
117,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,"['canadian celtic', 'celtic', 'irish folk', 'irish pub song']",6ZGHt5l3B8C64NV6uiJmEQ,160800,FALSE,11
118,(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",2IfpSQcggsntXGjXRFWj1b,260852,FALSE,40
119,(Theme From) Any Number Can Win,Jimmy Smith,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']",2f3vUTMZ5JL2GauxqDC0la,131573,FALSE,10
120,(Theme from) My Three Sons,Lawrence Welk And His Orchestra,"[]",4fNOGDefPWPJsze4D66t6p,122600,FALSE,7
121,(Theme From) Valley Of The Dolls,Dionne Warwick,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",021O8Fvrww2EJB8220tgXo,218840,FALSE,36
122,(There Was A) Tall Oak Tree,Dorsey Burnette,"['traditional rockabilly']",5lgNRKqoMZIfjL4waBliDu,125946,FALSE,2
123,(There's Gotta Be) More To Life,Stacie Orrico,"['candy pop', 'dance pop', 'europop']",2x5qF66rFO6DERBMNkQAqn,200386,FALSE,56
124,(There's No Place Like) Home For The Holidays,Perry Como,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",5mKxNjNnRFpO9Muzw3Ug0u,171333,FALSE,66
125,(There's) Always Something There To Remind Me,Dionne Warwick,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",2wc9DHQnBTnMKDIYcXFzoq,179506,FALSE,40
126,(There's) Always Something There To Remind Me,Lou Johnson,"['northern soul']",1zc9G4b4zbRptS59Lg8VZu,193973,FALSE,25
127,(There's) Always Something There To Remind Me,Sandie Shaw,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",3ahiI70MSf3ESUHqKpMtyc,166133,FALSE,49
128,(There's) No Gettin' Over Me,Ronnie Milsap,"['classic country pop', 'country', 'country rock', 'nashville sound']",2bRnP6FjtlASGsDtcgRVuI,199680,FALSE,51
129,(They Long To Be) Close To You,Carpenters,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']",50q2aUjWoTn6CJIfSPRJQA,276000,FALSE,61
130,(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']",2vE5u8H9urlvYNqWV3ENyw,251906,FALSE,12
131,(Today I Met) The Boy I'm Gonna Marry,Darlene Love,"['adult standards', 'brill building pop', 'motown']",4i5uj1EfjkWmCxpp58K7oE,166053,FALSE,50
132,(Want You) Back In My Life Again,Carpenters,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']",3dIBiWACV8dHz7HYn3fi7V,220506,FALSE,33
133,(We Ain't Got) Nothin' Yet,Blues Magoos,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",6cQdZhnwKIeLud5qTD7BuQ,135746,FALSE,37
134,(We'll Be) United,The Intruders,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",1ldikvb9oHHtGUTaZz9XW2,171133,FALSE,28
135,(We've Got) Honey Love,Martha Reeves & The Vandellas,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",2Gj1vc5Z4cX673brTMDe8W,149133,FALSE,10
136,(Welcome) New Lovers,Pat Boone,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",657T90Nnp6WpwhZ8oyBCiU,135735,FALSE,4
137,(What A Sad Way) To Love Someone,Ral Donner,"[]",2cC2EUQRiQEQPuqpBWTUr5,179957,FALSE,2
138,(what) In The Name Of Love,Naked Eyes,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1Y1f545iaGofOJo4qya2e5,267066,FALSE,31
139,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,"['dance pop', 'dancehall', 'pop', 'pop rap']",6k8uthjEbttfWXcGaNTQGD,243880,FALSE,47
140,(Where Do I Begin) Love Story,Andy Williams,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",45FLu3nL1iMYXYPzhqLdko,189066,FALSE,57
141,(Wish I Could Fly Like) Superman,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",4uDnx2eQm8V9Fnj0L0k8bb,214733,FALSE,42
142,(You Can Still) Rock In America,Night Ranger,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",1anccAjNKZNKlTbHGheeCA,255160,FALSE,47
143,(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",1kkyUSwuSCkM8nnbqBdtEf,186146,FALSE,12
144,(You Can't Let The Boy Overpower) The Man In You,The Miracles,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",5pQdkHkwQfLMkUE5UaTN2A,175893,FALSE,20
145,(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",7oXi9ywYiQZNVjikAaF7Ul,136440,FALSE,9
146,(You Don't Know) How Glad I Am,Nancy Wilson,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'vocal jazz']",4YkN3JlceD5n2aMqL1kFnH,157386,FALSE,59
147,(You Drive Me) Crazy,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",1DSJNBNhGZCigg9ll5VeZv,198066,FALSE,61
148,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']",4TvVE0cxfD1XsqNxPAjbMK,210973,FALSE,46
